Batch,Loss,Logits,Predicted Class,Ground Truth
0,0.6902092099189758,[0.00588462],[1],[1.]
0,0.6389873027801514,[0.11142193],[1],[1.]
0,0.7734154462814331,[0.1545696],[1],[0.]
0,0.7862919569015503,[0.17834803],[1],[0.]
0,0.7668272256851196,[0.14230195],[1],[0.]
0,0.7720158696174622,[0.15196925],[1],[0.]
0,0.6492664813995361,[0.08977563],[1],[1.]
0,0.747379720211029,[0.10567462],[1],[0.]
1,0.5186663866043091,[-0.38597733],[0],[0.]
1,0.601233720779419,[-0.19313815],[0],[0.]
1,0.7921509742736816,[-0.18908277],[0],[1.]
1,0.5876215696334839,[0.22351506],[1],[1.]
1,0.6127499938011169,[0.16782765],[1],[1.]
1,0.5460047721862793,[-0.31973416],[0],[0.]
1,0.7169707417488098,[-0.04709279],[0],[1.]
1,0.6714038252830505,[-0.04396996],[0],[0.]
0,0.6902092099189758,[0.00588462],[1],[1.]
0,0.6389873027801514,[0.11142193],[1],[1.]
0,0.7734154462814331,[0.1545696],[1],[0.]
0,0.7862919569015503,[0.17834803],[1],[0.]
0,0.7668272256851196,[0.14230195],[1],[0.]
0,0.7720158696174622,[0.15196925],[1],[0.]
0,0.6492664813995361,[0.08977563],[1],[1.]
0,0.747379720211029,[0.10567462],[1],[0.]
1,0.5186914205551147,[-0.38591546],[0],[0.]
1,0.6012635231018066,[-0.19307193],[0],[0.]
1,0.7921462059020996,[-0.18907401],[0],[1.]
1,0.587599515914917,[0.22356474],[1],[1.]
1,0.61280357837677,[0.16771072],[1],[1.]
1,0.5459625720977783,[-0.31983447],[0],[0.]
1,0.7169427871704102,[-0.04703815],[0],[1.]
1,0.6714380383491516,[-0.04390005],[0],[0.]
0,0.36162352561950684,[-0.830897],[0],[0.]
0,0.3727705776691437,[0.7946236],[1],[1.]
0,0.6454178094863892,[0.09785146],[1],[1.]
0,0.6130105257034302,[-0.16725914],[0],[0.]
0,0.4747127890586853,[-0.49831688],[0],[0.]
0,0.506166934967041,[-0.41715282],[0],[0.]
0,0.8447976112365723,[0.28330246],[1],[0.]
0,0.5845943689346313,[-0.23034072],[0],[0.]
1,0.39800921082496643,[0.7156837],[1],[1.]
1,0.6954774260520935,[-0.00465505],[0],[1.]
1,0.2805061340332031,[-1.12763],[0],[0.]
1,1.276855707168579,[-0.9498603],[0],[1.]
1,0.2812004089355469,[-1.124795],[0],[0.]
1,0.3111759424209595,[1.0077775],[1],[1.]
1,0.8108454346656799,[-0.22299094],[0],[1.]
1,0.8607858419418335,[-0.31116787],[0],[1.]
0,0.27410435676574707,[-1.1540654],[0],[0.]
0,0.17122972011566162,[-1.6779132],[0],[0.]
0,0.29397404193878174,[1.0736785],[1],[1.]
0,0.31196895241737366,[1.0048152],[1],[1.]
0,0.31380367279052734,[-0.9979862],[0],[0.]
0,0.18691155314445496,[1.5822088],[1],[1.]
0,0.2579522132873535,[-1.223234],[0],[0.]
0,0.4287511110305786,[0.6248553],[1],[1.]
1,0.2363748550415039,[-1.3218222],[0],[0.]
1,0.30490970611572266,[-1.0314139],[0],[0.]
1,0.3643225431442261,[-0.8220302],[0],[0.]
1,0.2580745220184326,[-1.2226958],[0],[0.]
1,0.03362991288304329,[3.3754773],[1],[1.]
1,0.4731893539428711,[-0.5023528],[0],[0.]
1,0.31362003087997437,[-0.99866813],[0],[0.]
1,0.10032756626605988,[2.2487316],[1],[1.]
2,0.06305384635925293,[-2.7320745],[0],[0.]
2,0.045159731060266495,[3.0748847],[1],[1.]
2,0.2314338982105255,[1.3455132],[1],[1.]
2,0.1343517303466797,[-1.9393666],[0],[0.]
2,0.02133621647953987,[3.8366623],[1],[1.]
2,0.13629019260406494,[-1.9240493],[0],[0.]
2,0.05302071571350098,[-2.9104445],[0],[0.]
2,0.22177362442016602,[1.3931628],[1],[1.]
3,0.029772520065307617,[-3.4992445],[0],[0.]
3,0.07892870903015137,[-2.4994857],[0],[0.]
3,0.5461888313293457,[0.31929675],[1],[1.]
3,0.032628774642944336,[-3.4062028],[0],[0.]
3,0.02519313059747219,[3.668561],[1],[1.]
3,0.17749619483947754,[-1.6387454],[0],[0.]
3,0.18229693174362183,[1.6095856],[1],[1.]
3,0.008294877596199512,[4.7879667],[1],[1.]
4,0.40662217140197754,[-0.68968],[0],[0.]
4,0.03928065299987793,[-3.2173193],[0],[0.]
4,0.017870666459202766,[4.015646],[1],[1.]
4,0.939953088760376,[0.44459692],[1],[0.]
4,0.028542757034301758,[-3.5420425],[0],[0.]
4,0.0008067974122241139,[7.1220345],[1],[1.]
4,0.13598930835723877,[-1.9264137],[0],[0.]
4,0.02300262451171875,[-3.7606266],[0],[0.]
5,0.6714897155761719,[0.04379439],[1],[1.]
5,0.008785784244537354,[4.730224],[1],[1.]
5,0.06554705649614334,[2.6920345],[1],[1.]
5,0.3875545263290405,[0.747871],[1],[1.]
5,0.006200245115906,[5.080065],[1],[1.]
5,0.0007014274597167969,[-7.262022],[0],[0.]
5,0.6268950700759888,[0.13720694],[1],[1.]
5,0.00432586669921875,[-5.4409256],[0],[0.]
6,0.21773305535316467,[1.4136444],[1],[1.]
6,0.0024170672986656427,[6.0239916],[1],[1.]
6,0.884597897529602,[-0.35207158],[0],[1.]
6,0.0005753999575972557,[7.4601574],[1],[1.]
6,0.0050945281982421875,[-5.2770867],[0],[0.]
6,0.004143238067626953,[-5.484186],[0],[0.]
6,0.15342628955841064,[-1.7968413],[0],[0.]
6,0.07462215423583984,[-2.557775],[0],[0.]
7,0.030174732208251953,[-3.4856286],[0],[0.]
7,0.0020609835628420115,[6.1835413],[1],[1.]
7,0.04423069953918457,[-3.0961404],[0],[0.]
7,2.872635841369629,[2.8144243],[1],[0.]
7,0.01858562044799328,[3.97606],[1],[1.]
7,0.014372867532074451,[4.235218],[1],[1.]
7,0.0001773834228515625,[-8.637006],[0],[0.]
7,0.3837152123451233,[-0.75986975],[0],[0.]
8,0.02034975029528141,[3.8844945],[1],[1.]
8,0.03967568650841713,[3.2071133],[1],[1.]
8,0.028393013402819633,[3.547382],[1],[1.]
8,1.9073486328125e-05,[-10.863878],[0],[0.]
8,0.13073281943798065,[1.968521],[1],[1.]
8,0.0014324188232421875,[-6.547715],[0],[0.]
8,0.007165264338254929,[4.9349256],[1],[1.]
8,0.1556742638349533,[1.7811428],[1],[1.]
9,0.0041833072900772095,[5.4745607],[1],[1.]
9,0.163108229637146,[-1.7306789],[0],[0.]
9,0.7760174870491028,[0.15939564],[1],[0.]
9,0.36224281787872314,[-0.82885754],[0],[0.]
9,0.2640829086303711,[-1.1965464],[0],[0.]
9,0.00012493133544921875,[-8.989744],[0],[0.]
9,0.02128424681723118,[3.839127],[1],[1.]
9,0.010524701327085495,[4.5487633],[1],[1.]
10,0.002276347018778324,[6.084045],[1],[1.]
10,0.1022498607635498,[-2.228775],[0],[0.]
10,0.007645117584615946,[4.869863],[1],[1.]
10,0.0652475357055664,[-2.6967652],[0],[0.]
10,0.006956876255571842,[4.9645443],[1],[1.]
10,0.32005494832992554,[-0.97497076],[0],[0.]
10,0.008143424987792969,[-4.8064413],[0],[0.]
10,0.0015058517456054688,[-6.4976735],[0],[0.]
11,0.09024643898010254,[-2.3597486],[0],[0.]
11,0.000286102294921875,[-8.160223],[0],[0.]
11,0.1937180757522583,[-1.5429294],[0],[0.]
11,0.25313901901245117,[-1.2445781],[0],[0.]
11,8.36228791740723e-05,[9.389152],[1],[1.]
11,0.14193081855773926,[-1.880611],[0],[0.]
11,0.21208608150482178,[-1.4428464],[0],[0.]
11,0.0014870850136503577,[6.510194],[1],[1.]
12,3.596306324005127,[3.5684984],[1],[0.]
12,2.9344499111175537,[2.8798249],[1],[0.]
12,0.006808280944824219,[-4.986229],[0],[0.]
12,0.02144765853881836,[-3.8313956],[0],[0.]
12,0.6015154123306274,[-0.19251469],[0],[0.]
12,0.9769910573959351,[0.50467736],[1],[0.]
12,0.3798655867576599,[-0.77199966],[0],[0.]
12,0.25789034366607666,[-1.2235063],[0],[0.]
13,0.0869680717587471,[2.398415],[1],[1.]
13,0.0011014938354492188,[-6.810381],[0],[0.]
13,0.004969120025634766,[-5.302025],[0],[0.]
13,0.0005249248933978379,[7.551993],[1],[1.]
13,0.4363447427749634,[0.60322964],[1],[1.]
13,0.00238800048828125,[-6.0360656],[0],[0.]
13,0.0017024719854816794,[6.3748226],[1],[1.]
13,0.0021600723266601562,[-6.136506],[0],[0.]
14,0.24147309362888336,[1.2978324],[1],[1.]
14,0.020038025453686714,[3.9000878],[1],[1.]
14,0.030019856989383698,[3.4908488],[1],[1.]
14,0.00022220611572265625,[-8.410861],[0],[0.]
14,0.001239244476892054,[6.6926336],[1],[1.]
14,1.71661376953125e-05,[-10.961309],[0],[0.]
14,0.0015583038330078125,[-6.4633126],[0],[0.]
14,0.15591996908187866,[1.7794398],[1],[1.]
15,7.2479248046875e-05,[-9.526603],[0],[0.]
15,0.009711625054478645,[4.629572],[1],[1.]
15,1.4320359230041504,[-1.1591476],[0],[1.]
15,0.0053436714224517345,[5.2291694],[1],[1.]
15,9.632110595703125e-05,[-9.247624],[0],[0.]
15,0.02769165299832821,[3.5727465],[1],[1.]
15,0.21070435643196106,[1.4500979],[1],[1.]
15,0.0012102127075195312,[-6.716438],[0],[0.]
16,1.0570238828659058,[-0.63009745],[0],[1.]
16,0.054165687412023544,[2.8885026],[1],[1.]
16,9.5367431640625e-07,[-13.719984],[0],[0.]
16,0.19927442073822021,[1.5117811],[1],[1.]
16,0.014435522258281708,[4.230837],[1],[1.]
0,0.04894304275512695,[2.9925268],[1],[1.]
0,0.3677079677581787,[0.8109849],[1],[1.]
0,0.0042819976806640625,[-5.4511395],[0],[0.]
0,0.10896563529968262,[-2.1617458],[0],[0.]
0,0.028474686667323112,[3.5444686],[1],[1.]
0,0.0038502770476043224,[5.5576844],[1],[1.]
0,0.00046062469482421875,[-7.6830816],[0],[0.]
0,3.62396240234375e-05,[-10.22879],[0],[0.]
1,0.013924121856689453,[-4.267169],[0],[0.]
1,0.00018405914306640625,[-8.598645],[0],[0.]
1,0.05015571415424347,[2.9674401],[1],[1.]
1,0.7218911647796631,[0.05668474],[1],[0.]
1,0.0029277801513671875,[-5.832119],[0],[0.]
1,0.002612887881696224,[5.9459925],[1],[1.]
1,0.052358388900756836,[-2.9233496],[0],[0.]
1,0.2070019245147705,[-1.4697416],[0],[0.]
2,0.007214709650725126,[4.928024],[1],[1.]
2,0.005107410252094269,[5.274508],[1],[1.]
2,0.011723041534423828,[-4.4403467],[0],[0.]
2,0.24891352653503418,[-1.2636127],[0],[0.]
2,0.007129192352294922,[-4.9399614],[0],[0.]
2,0.00022220611572265625,[-8.410836],[0],[0.]
2,0.026353079825639725,[3.6229646],[1],[1.]
2,0.0002593994140625,[-8.256292],[0],[0.]
3,0.9093047380447388,[0.39379454],[1],[0.]
3,0.00022411346435546875,[-8.405108],[0],[0.]
3,0.004445075988769531,[-5.4137297],[0],[0.]
3,0.0069107976742088795,[4.971213],[1],[1.]
3,1.7758920192718506,[1.5903665],[1],[0.]
3,0.00017833709716796875,[-8.631092],[0],[0.]
3,0.0036644935607910156,[-5.6072598],[0],[0.]
3,0.0017114438815042377,[6.369562],[1],[1.]
